name,address,municipality,postcode,street_nominative,street_dative,house_nr,geometry
Atlantsolía,"Bíldshöfði 20, 110",Reykjavík,110,Bíldshöfði,Bíldshöfða,20,POINT (-21.81464694 64.1251776)
Atlantsolía,"Bústaðavegur 151, 108",Reykjavík,108,Bústaðavegur,Bústaðavegi,151,POINT (-21.84783045 64.12088042)
Atlantsolía,"Flugvallarvegur 5, 102",Reykjavík,102,Flugvallarvegur,Flugvallarvegi,5,POINT (-21.92489768 64.13159896)
Atlantsolía,"Háaleitisbraut 12, 108",Reykjavík,108,Háaleitisbraut,Háaleitisbraut,12,POINT (-21.89090998 64.1374088)
Atlantsolía,"Kirkjustétt 2-6, 113",Reykjavík,113,Kirkjustétt,Kirkjustétt,2,POINT (-21.75664476 64.12625023)
Atlantsolía,"Skeifan 5, 108",Reykjavík,108,Skeifan,Skeifunni,5,POINT (-21.8701194 64.13231965)
Atlantsolía,"Skúlagata 15, 101",Reykjavík,101,Skúlagata,Skúlagötu,15,POINT (-21.91923505 64.1458661)
Atlantsolía,"Starengi 2, 112",Reykjavík,112,Starengi,Starengi,2,POINT (-21.77376927 64.15107194)
Atlantsolía,"Vallargrund 3, 116",Reykjavík,116,Vallargrund,Vallargrund,3,POINT (-21.82995183 64.24200166)
Orkan,"Vatnagarðar 40, 104",Reykjavík,104,Vatnagarðar,Vatnagörðum,40,POINT (-21.84963175 64.14121141)
Orkan,"Stekkjarbakki 2, 109",Reykjavík,109,Stekkjarbakki,Stekkjarbakka,2,POINT (-21.84201245 64.11275396)
N1,"Straumur 9, 110",Reykjavík,110,Straumur,Straumi,9,POINT (-21.82598729 64.12358145)
N1,"Bíldshöfði 2, 110",Reykjavík,110,Bíldshöfði,Bíldshöfða,2,POINT (-21.8291447 64.12428405)
N1,"Borgartún 39, 105",Reykjavík,105,Borgartún,Borgartúni,39,POINT (-21.89435756 64.14653702)
N1,"Gagnvegur 2, 112",Reykjavík,112,Gagnvegur,Gagnvegi,2,POINT (-21.77245535 64.13841028)
N1,"Hringbraut 12, 101",Reykjavík,101,Hringbraut,Hringbraut,12,POINT (-21.93808279 64.13879159)
N1,"Kringlumýrarbraut 100, 108",Reykjavík,108,Kringlumýrarbraut,Kringlumýrarbraut,100,POINT (-21.89912323 64.11769042)
N1,"Stóragerði  40, 108",Reykjavík,108,Stóragerði,Stóragerði,40,POINT (-21.88623115 64.12625783)
N1,"Elliðabraut - Norðlingaholt, 110",Reykjavík,110,Elliðabraut,,,POINT (-21.78029374 64.09970539)
N1,"Ægisíða 102, 107",Reykjavík,107,Ægisíða,Ægisíðu,102,POINT (-21.96624159 64.14355465)
ÓB,"Bíldshöfði 5, 110",Reykjavík,110,Bíldshöfði,Bíldshöfða,5,POINT (-21.83203589 64.12493114)
ÓB,"Egilsgata 5, 101",Reykjavík,101,Egilsgata,Egilsgötu,5,POINT (-21.92102454 64.13969756)
ÓB,"Barðastaðir 3, 112",Reykjavík,112,Barðastaðir,Barðastöðum,3,POINT (-21.752295 64.15619986)
Olís,"Skúlagata 9, 101",Reykjavík,101,Skúlagata,Skúlagötu,9,POINT (-21.92456524 64.14756603)
Olís,"Álfabakki 7, 109",Reykjavík,109,Álfabakki,Álfabakka,7,POINT (-21.84264541 64.11040034)
Olís,"Álfheimar 49, 104",Reykjavík,104,Álfheimar,Álfheimum,49,POINT (-21.86682597 64.13262348)
Olís,"Ánanaust 12, 101",Reykjavík,101,Ánanaust,Ánanaustum,12,POINT (-21.9551818 64.15261114)
Olís,"Fjallkonuvegur 1, 112",Reykjavík,112,Fjallkonuvegur,Fjallkonuvegi,1,POINT (-21.80756623 64.13738287)
Olís,"Norðlingabraut 7, 110",Reykjavík,110,Norðlingabraut,Norðlingabraut,7,POINT (-21.76583324 64.10274187)
Olís,"Sundagarðar 2, 104",Reykjavík,104,Sundagarðar,Sundagörðum,2,POINT (-21.86978393 64.15083167)
Orkan,"Birkimelur 10, 107",Reykjavík,107,Birkimelur,Birkimel,10,POINT (-21.95396008 64.14217309)
Orkan,"Fellsmúli 30, 108",Reykjavík,108,Fellsmúli,Fellsmúla,30,POINT (-21.87722388 64.13089096)
Orkan,"Gylfaflöt 1, 112",Reykjavík,112,Gylfaflöt,Gylfaflöt,1,POINT (-21.80414193 64.14461897)
Orkan,"Hraunbær 102, 110",Reykjavík,110,Hraunbær,Hraunbæ,102,POINT (-21.7973741 64.11775516)
Orkan,"Kleppsvegur 96, 104",Reykjavík,104,Kleppsvegur,Kleppsvegi,96,POINT (-21.85953833 64.14593652)
Orkan,"Klettagarðar 6, 104",Reykjavík,104,Klettagarðar,Klettagörðum,6,POINT (-21.86578151 64.1533032)
Orkan,"Laugavegur 180, 105",Reykjavík,105,Laugavegur,Laugavegi,180,POINT (-21.89513537 64.14010028)
Orkan,"Miklabraut 101, 108",Reykjavík,108,Miklabraut,Miklubraut,101,POINT (-21.89325513 64.13271296)
Orkan,"Miklabraut 101, 108",Reykjavík,108,Miklabraut,Miklubraut,101,POINT (-21.89325513 64.13271296)
Orkan,"Miklabraut 101, 108",Reykjavík,108,Miklabraut,Miklubraut,101,POINT (-21.89325513 64.13271296)
Orkan,"Miklabraut 101, 108",Reykjavík,108,Miklabraut,Miklubraut,101,POINT (-21.89325513 64.13271296)
Orkan,"Skógarhlíð 16, 105",Reykjavík,105,Skógarhlíð,Skógarhlíð,16,POINT (-21.9169625 64.131893)
Orkan,"Spöngin 43, 112",Reykjavík,112,Spöngin,Spönginni,43,POINT (-21.78616402 64.14954529)
Orkan,"Suðurfell 4, 111",Reykjavík,111,Suðurfell,Suðurfelli,4,POINT (-21.83065809 64.10176206)
Orkan,"Grjótháls 8, 110",Reykjavík,110,Grjótháls,Grjóthálsi,8,POINT (-21.80348721 64.12384527)
